Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Glenmorangie Artein,69.8825,88.25,Highland,,,,,,,,,,,,,,,,,
Glenmorangie Astar,81.07692308,88.25,Highland,,,2,,,,,,,,,,,,,,
Glenmorangie Companta,112.5,86.85714286,Highland,,,,,,,2,,,,,,,,,,
Glenmorangie Ealanta,105.2181818,89.45454545,Highland,,5,,,,,,1,,,,,2,,,,
Glenmorangie Finealta,95,87.16666667,Highland,,,,,,,,3,,,,,,,,2,
Glenmorangie Lasanta,43.3625,77.79545455,Highland,2,,,,,,,1,1,,,,,,,2,
Glenmorangie Nectar D'Or,56.92217391,83.62264151,Highland,,,2,1,,,,2,,,,,,,,,2
Glenmorangie Quinta Ruban,43.08734694,85.125,Highland,1,,3,,,,,,,,2,,,,,,
Glenmorangie Signet,71.05,87.13333333,Highland,1,,,2,,,3,,7,6,,,,,,2,2
McClelland Highland,17.67,61.5,Highland,1,1,4,1,1,1,,2,,,,,2,,,4,
Oban 14,55.53848485,82.82608696,Highland,,,,,,1,,,,2,,3,,,,,
Oban 18,85,89,Highland,2,,1,,,,,2,,6,,,,,1,,
Old Pulteney 12,33.135,82.59649123,Highland,1,,4,2,1,1,10,5,3,4,8,,4,5,,,3
Old Pulteney 17,108.2514286,86.33333333,Highland,,,4,,,,,,,,,,,,,4,
Old Pulteney 1990 – Single Cask Bottling for The Official Line,,89.4,Highland,3,5,,4,,,2,,,,2,1,,,,,
Old Pulteney 21,74.7625,89.8125,Highland,,1,,,1,,2,,1,,1,,2,,,,
Royal Lochnagar 12,43.5,78.66666667,Highland,2,4,8,2,1,,,2,,,,,3,,,1,6
Tomatin 12,28.09235294,74.81481481,Highland,4,,,6,,,,,,,,,,,,,
Tomatin 15,53.75,79.58333333,Highland,,4,3,11,1,,,4,,,,,,,,,2
Tomatin 18,36.16142857,84.70588235,Highland,1,,3,,,,,,,,,,,,,,
Tomatin Decades,95,86.5,Highland,,,,8,,,2,2,,,3,2,2,3,,,1
Amrut Cask Strength,70.66666667,90.2,India,7,12,7,,2,3,,1,1,,,,3,,,1,
Amrut Fusion,53.81,86.86956522,India,4,,3,,1,,,,,,,,,,,,
Amrut Kadhambam,,89.83333333,India,2,2,3,4,2,,,,10,2,4,,2,2,2,,
Amrut Peated Cask Strength,92.8,88,India,2,,1,,,,,,1,,,,,,2,,
Amrut Portonova,58.57,91.625,India,3,,,2,1,,,,2,,2,1,2,,,,
Amrut Single Malt Whisky,42.5,84.28571429,India,1,,,,,,,,,,,,2,,1,,
Bushmills 10,30.1075,81,Irish,4,,1,,,,,4,,,,,,2,1,,
Bushmills 16,63.66666667,85.66666667,Irish,,,1,2,2,,2,,,,4,,,1,2,,
Bushmills Black Bush,21.79333333,81.16666667,Irish,,,2,,1,,,,,,,,,1,,,
Bushmills Original,19.08,69.375,Irish,2,2,4,,,,,2,,1,,,,,,,
Connemara Peated,18.77,75,Irish,1,1,,,,,,2,,,,,,,,,
